




Julian Date (days)   sc_1_X (km)   sc_1_Y (km)   sc_1_Z (km)   sc_1_V_X (km/s)   sc_1_V_Y (km/s)   sc_1_V_Z (km/s)
2463998.34434   123340766.39275   83589045.89737   -1028777.88637   -16.70881   24.80002   0.13937
2463998.70971   122811380.35885   84369466.46981   -1024362.30942   -16.86452   24.69377   0.14067
2463999.07508   122277094.52521   85146520.95809   -1019905.86354   -17.01955   24.58654   0.14196
2463999.44044   121737930.46092   85920178.53609   -1015408.72863   -17.17389   24.47834   0.14325
2463999.80581   121193909.92973   86690408.51800   -1010871.08622   -17.32755   24.36917   0.14453
2464000.17117   120645054.88914   87457180.35960   -1006293.11946   -17.48050   24.25903   0.14580
2464000.53654   120091387.48943   88220463.65945   -1001675.01311   -17.63274   24.14792   0.14707
2464000.90190   119532930.07272   88980228.16018   -997016.95351   -17.78428   24.03587   0.14834
2464001.26727   118969705.17199   89736443.74962   -992319.12861   -17.93509   23.92285   0.14960
2464001.63263   118401735.51015   90489080.46209   -987581.72795   -18.08519   23.80890   0.15085
2464001.99800   117829043.99899   91238108.47956   -982804.94263   -18.23455   23.69399   0.15209
2464002.36336   117251653.73828   91983498.13288   -977988.96532   -18.38318   23.57815   0.15333
2464002.72873   116669588.01468   92725219.90293   -973133.99026   -18.53106   23.46138   0.15457
2464003.09409   116082870.30082   93463244.42184   -968240.21323   -18.67820   23.34368   0.15579
2464003.45946   115491524.25426   94197542.47416   -963307.83156   -18.82459   23.22505   0.15701
2464003.82482   114895573.71644   94928084.99802   -958337.04410   -18.97022   23.10550   0.15823
2464004.19019   114295042.71172   95654843.08630   -953328.05124   -19.11508   22.98504   0.15944
2464004.55556   113689955.44629   96377787.98778   -948281.05489   -19.25917   22.86367   0.16064
2464004.92092   113080336.30717   97096891.10828   -943196.25845   -19.40249   22.74140   0.16183
2464005.28629   112466209.86113   97812124.01185   -938073.86684   -19.54502   22.61823   0.16302
2464005.65165   111847600.85368   98523458.42183   -932914.08646   -19.68677   22.49416   0.16421
2464006.01702   111224534.20795   99230866.22204   -927717.12518   -19.82772   22.36920   0.16538
2464006.38238   110597035.02367   99934319.45785   -922483.19237   -19.96788   22.24336   0.16655
2464006.74775   109965128.57609   100633790.33733   -917212.49883   -20.10723   22.11664   0.16771
2464007.11311   109328840.31486   101329251.23234   -911905.25686   -20.24577   21.98905   0.16887
2464007.47848   108688195.86300   102020674.67961   -906561.68016   -20.38350   21.86059   0.17002
2464007.84384   108043221.01573   102708033.38188   -901181.98390   -20.52040   21.73127   0.17116
2464008.20921   107393941.73943   103391300.20890   -895766.38465   -20.65648   21.60109   0.17229
2464008.57457   106740384.17053   104070448.19857   -890315.10043   -20.79173   21.47005   0.17342
2464008.93994   106082574.61431   104745450.55801   -884828.35063   -20.92614   21.33817   0.17454
2464009.30531   105420539.54390   105416280.66454   -879306.35607   -21.05971   21.20545   0.17566
2464009.67067   104754305.59906   106082912.06684   -873749.33896   -21.19243   21.07189   0.17676
2464010.03604   104083899.58505   106745318.48590   -868157.52287   -21.32430   20.93751   0.17786
2464010.40140   103409348.47154   107403473.81611   -862531.13276   -21.45531   20.80229   0.17896
2464010.76677   102730679.39142   108057352.12626   -856870.39493   -21.58546   20.66626   0.18004
2464011.13213   102047919.63965   108706927.66056   -851175.53706   -21.71474   20.52941   0.18112
2464011.49750   101361096.67209   109352174.83967   -845446.78815   -21.84314   20.39176   0.18219
2464011.86286   100670238.10436   109993068.26168   -839684.37854   -21.97067   20.25330   0.18326
2464012.22823   99975371.71063   110629582.70313   -833888.53990   -22.09732   20.11405   0.18431
2464012.59359   99276525.42246   111261693.11997   -828059.50520   -22.22307   19.97400   0.18536
2464012.95896   98573727.32763   111889374.64855   -822197.50872   -22.34794   19.83317   0.18640
2464013.32432   97867005.66889   112512602.60660   -816302.78603   -22.47190   19.69156   0.18744
2464013.68969   97156388.84282   113131352.49415   -810375.57399   -22.59497   19.54917   0.18846
2464014.05506   96441905.39860   113745599.99456   -804416.11071   -22.71712   19.40602   0.18948
2464014.42042   95723584.03680   114355320.97539   -798424.63560   -22.83837   19.26210   0.19049
2464014.78579   95001453.60818   114960491.48938   -792401.38929   -22.95869   19.11743   0.19150
2464015.15115   94275543.11242   115561087.77536   -786346.61367   -23.07810   18.97201   0.19249
2464015.51652   93545881.69695   116157086.25918   -780260.55185   -23.19657   18.82584   0.19348
2464015.88188   92812498.65569   116748463.55461   -774143.44818   -23.31412   18.67894   0.19446
